canal,tipo,url,prioridad,nota
Ciencuadras,portal inmobiliario,https://www.ciencuadras.com/publicar,alta,Publicar hoy y revisar condiciones de comisión.
Metrocuadrado,portal inmobiliario,https://www.metrocuadrado.com/publicar-inmuebles/,alta,Usar cupo gratis o plan básico si está disponible.
Fincaraíz,portal inmobiliario,https://www.fincaraiz.com.co/,alta,Publicar como persona natural y seleccionar lote/terreno.
Mercado Libre Inmuebles,marketplace,https://www.mercadolibre.com.co/inmuebles/,alta,Usar título con Cota y Los Alisos.
Facebook Marketplace,red social,https://www.facebook.com/marketplace/,alta,Subir fotos reales y responder rápido.
Grupos Facebook Cota,grupo social,https://www.facebook.com/search/groups/?q=lotes%20en%20cota,alta,Publicar donde permitan inmuebles.
Grupos Facebook Chía,grupo social,https://www.facebook.com/search/groups/?q=inmuebles%20chia,media,Buscar compradores de Sabana Norte.
Grupos Facebook Sabana Norte,grupo social,https://www.facebook.com/search/groups/?q=inmuebles%20sabana%20norte,media,Republicar cada 3 o 4 días sin duplicar texto.
WhatsApp estados,estado personal,https://wa.me/573028327122,alta,Publicar 3 veces al día con distinta foto.
Instagram historias,red social,https://www.instagram.com/,media,Usar foto del lote y texto corto.
Constructores locales,referidos,,alta,Enviar texto para inmobiliarias y referidos.
Arquitectos locales,referidos,,media,Pueden conocer familias construyendo en Cota.
Administradores de conjuntos,referidos,,media,Pedir difusión si el grupo lo permite.
